x1 x2 z
0 155.986677218217 1
0 127.461315244722 0
0 117.049215656823 0
1 170.484904196994 1
1 182.880035629334 0
1 169.609922222716 0
1 205.704913790155 1
1 198.945074511858 1
0 113.347089188401 0
1 147.850914244929 0
1 188.729009575689 1
1 171.610001764975 1
1 180.533292528446 1
1 192.852067806264 1
1 167.503819778937 0
0 161.619512274641 0
1 173.710094356918 1
1 182.491637288576 1
0 146.840475304033 1
0 113.519274662011 0
0 133.351358141331 0
0 135.50854103555 0
0 160.449268094416 1
1 144.628950871734 0
1 194.541015898812 1
1 155.534099895333 0
1 168.567820696654 1
1 170.468640498674 1
1 177.506299874991 1
0 174.286644316294 1
1 198.762036879132 1
1 202.992556418934 1
0 153.991615759119 0
1 154.296457452735 0
0 178.094874427614 1
1 165.745391626202 0
0 152.201775622201 0
0 149.958928797579 1
0 163.525579479993 1
0 134.652246710762 0
1 177.126604588263 1
1 162.305144375891 0
0 139.990523241469 0
1 181.384444665434 0
1 183.069215443366 1
1 186.940939499708 1
0 152.823331451864 1
0 123.065770498629 0
0 138.444062037433 0
0 168.586481003869 1
1 169.997601193787 0
0 168.913185413526 1
1 194.864792431116 1
1 172.331755327255 1
0 148.287983627573 0
1 179.013778388904 1
0 156.99082922984 0
0 131.07127076957 1
0 122.107167732088 0
0 159.737573379407 0
1 182.697351364524 1
1 161.595662277887 1
0 163.905830507629 0
1 181.239321111697 0
1 173.171100989089 1
1 162.015042946857 1
0 77.1236876801992 0
1 190.884896079702 1
1 176.377454793236 1
0 147.906785864065 0
0 131.753463274138 0
0 132.188941573962 0
1 171.915187425389 1
0 181.289691721924 1
0 162.570065759734 0
1 185.563013341232 1
1 161.646387497035 1
0 174.25434038117 1
1 185.451933156223 1
0 137.09330732123 0
0 136.003953743639 0
0 152.46821916189 0
0 137.864080031808 0
0 154.043865452623 0
1 151.450395661678 1
0 167.913839268715 1
0 152.057199092026 0
0 157.469294554827 1
1 208.00915407308 1
1 193.776943546833 1
1 152.353227201034 0
0 159.206608412553 0
1 175.156763973535 1
0 157.69170339052 0
0 139.163309189186 0
0 133.895827730707 0
1 163.817014596706 0
0 114.046640507845 0
1 179.108377045228 1
1 177.638001663479 1
0 135.68160496742 0
1 194.419035440839 1
0 179.321580732024 0
0 171.121564552808 0
0 110.304513579235 0
1 156.997995591526 0
0 146.73323550356 0
0 134.286179236081 0
1 179.705472754349 1
0 153.114380528405 1
0 141.369671587016 0
1 167.597698919182 1
1 188.188723656033 1
1 173.630048043138 1
1 193.155940614222 1
0 157.942448685125 0
1 168.291768239906 1
1 170.881101407149 1
1 199.233611369613 1
1 202.380753289679 1
0 129.790708375161 1
1 171.679219768794 0
1 168.02695564831 1
1 171.293504371925 0
1 173.896837732512 1
1 191.380974942801 1
1 194.341412420886 1
1 160.602743198173 0
0 125.316043211836 0
1 167.679154607307 1
0 119.713131525689 0
0 163.736917971669 0
1 152.334073372389 0
0 160.361640545879 0
0 125.86513785048 0
1 194.599204016668 1
1 220.027544832025 1
1 207.034150119186 1
0 125.300684441928 0
1 208.888625169816 1
0 151.838887544561 0
0 158.824303855904 1
0 112.922460115383 0
1 235.554270185727 1
1 169.554533897567 1
1 161.951414704795 0
1 194.32721723592 1
0 154.775045820645 1
0 132.199057533952 0
0 151.928405143254 1
1 168.293830882341 0
0 151.402900591181 0
0 147.086473099028 0
1 180.469758134989 1
0 116.557240281696 0
1 144.930942938109 0
0 112.970287541947 0
0 145.207169449434 1
1 174.731696774464 1
1 163.881921642 0
1 182.244528045991 1
1 195.273769034098 1
0 150.250178701983 0
1 143.177153398002 1
0 147.439302238865 0
1 198.474769092332 1
0 149.332173385492 1
1 186.841224370476 1
1 185.024215289475 1
0 119.851756598261 0
1 173.946512920877 1
1 199.778917655971 1
1 161.666903667728 1
0 125.119369887905 0
0 161.306514701119 1
0 129.171707764921 0
0 190.21182632521 1
1 189.03502127601 1
1 176.32810551669 0
1 190.89027369496 1
0 139.749729301856 0
0 144.227441871514 1
0 121.106380525475 0
0 107.05453628636 0
1 192.082627823484 1
1 170.394043963549 1
0 149.333013820407 0
0 155.100371535486 0
0 149.270601398932 0
0 146.628419836654 0
0 150.37004741169 0
1 171.11325739702 1
0 120.485634091043 0
1 152.496133302127 0
0 136.491620237095 0
1 181.647783867348 1
0 176.296691230191 1
1 193.578685121777 1
1 182.83445389201 1
0 187.038572593392 0
1 220.777608876354 1
1 219.215466199867 1
1 176.88830705567 0
0 146.366574593771 0
1 179.910735092783 1
0 131.567542359777 0
1 193.302806839484 1
1 195.128272240317 1
0 135.717956721515 1
1 199.000125450084 1
0 134.293119292718 0
0 112.757737631867 0
1 170.831057578644 1
0 127.841071913562 0
1 166.496374599789 1
0 147.677787909254 0
0 157.161467365861 0
0 147.121560589665 0
1 174.580231466985 1
0 154.215769900176 0
1 198.079575465237 1
1 158.369552310366 1
0 160.622416178593 0
1 200.43396969486 1
0 164.698808179217 1
0 146.923219388228 0
1 220.392935469673 1
0 135.334209233902 0
0 141.911544844346 0
1 193.704641776468 1
1 187.052211446098 1
0 113.043856643722 0
0 148.015512126361 0
0 135.59255856919 0
0 195.268810705915 1
1 172.457358060571 1
0 127.307039817723 0
0 145.954017063805 0
0 137.15296638478 0
0 173.403171084515 1
1 197.219573765091 1
0 178.141236782766 1
0 166.115479637041 1
1 175.253022172873 1
0 138.244373888455 0
1 210.768942312352 1
0 136.528442087013 0
1 184.205838846892 0
1 181.509248645231 1
0 127.369391279297 0
0 128.89105028581 0
0 163.985841348311 0
0 138.169920134211 0
0 143.417986152176 1
0 149.834785532031 0
1 179.876413849312 0
1 207.825470196774 1
0 132.711618955028 0
0 170.00592380303 0
1 216.247886587164 1
0 166.839867494054 0
0 173.885014956291 0
1 180.095871169008 1
0 157.491848126637 1
1 199.781363905557 1
0 178.180784720682 1
1 183.527557836084 0
0 137.248820219277 0
0 112.523692616115 0
0 139.954233421544 0
1 224.742677705899 1
1 200.078663640643 1
0 150.255912442744 0
1 178.239366985707 1
0 124.222159492629 0
0 118.589460981847 0
1 158.544154005451 1
0 150.631626235269 0
0 109.339854059832 0
1 169.830878436993 1
1 175.339293353426 1
1 174.898277393137 0
1 183.745358279142 0
1 172.136886120431 1
0 93.1701392161993 0
1 174.887608952516 1
1 195.818654586678 0
1 197.381962390405 1
0 137.776237800721 0
0 136.714600202634 0
0 142.575782741774 1
1 195.949906584687 1
0 183.912221120353 1
0 131.114107122592 0
0 148.851729624577 0
1 200.909436938715 1
0 114.252691603225 0
1 159.054570277527 1
1 175.510763179837 1
1 179.14493538786 0
0 144.286299194285 0
0 142.487850086688 0
1 198.711404597356 1
1 192.764547659846 1
1 146.136874270806 0
1 161.315542298206 1
1 170.097382543457 1
0 152.520571184488 0
0 157.957010552907 0
1 144.282825657144 1
0 145.961685469189 1
1 179.214937868125 1
0 154.357993179397 0
0 150.808053364601 0
1 168.701564621402 1
0 131.032806251685 0
1 185.823844826918 1
1 155.94362973896 0
1 202.208243347452 0
0 146.765770874364 0
0 154.73804934949 0
1 157.633320453449 0
0 117.180351265947 0
0 133.959046188808 0
0 135.199871279463 1
0 108.400782748965 0
0 131.952120693718 0
0 130.805683504094 0
0 146.053220303515 0
0 158.780143649094 1
1 193.585932961568 1
0 149.686305073703 0
0 165.499836027862 0
1 132.884521022019 0
1 197.137252981074 1
0 165.566775266993 1
1 177.430935414741 1
0 161.373003317591 1
0 139.705257216654 0
0 162.901845074351 1
1 165.9442742146 0
0 139.171713803915 0
1 167.947453566916 0
1 187.453565004597 1
1 170.014362239356 1
1 190.132559727253 1
1 163.937760747649 1
1 146.043390643953 0
1 151.456109196271 0
1 201.803033969699 1
1 180.844132731079 0
0 137.753061645274 0
0 143.058183626052 0
1 199.636691237624 1
0 187.075910475002 1
0 163.541331930441 0
0 129.594031691044 0
1 203.633507509848 1
1 166.639915347246 1
1 151.1908107492 1
0 184.668737771334 1
1 169.776831443799 1
0 197.108414416069 0
0 128.295975692795 1
0 149.959742471424 0
0 123.442790192257 0
1 178.150278714774 0
1 162.899062493919 0
1 203.554241684364 1
0 152.972169589328 0
0 123.338089879726 0
0 154.197907826051 1
0 114.307024759087 0
0 134.608018106304 0
1 165.114512601095 1
1 156.166505975868 0
1 180.301592819485 1
1 201.030763318083 1
1 163.381835558474 0
1 201.033411070264 1
1 179.028434064993 1
0 151.165945240177 1
0 120.113176351878 0
0 172.281295880912 1
1 162.952234308904 0
1 144.235833558394 0
0 148.876445622675 0
1 162.793716184648 0
1 199.770146070808 1
1 189.962117362246 1
1 168.062390331726 0
1 178.082352790552 1
1 182.234768743272 1
0 143.890139075678 0
1 187.587601544505 0
0 169.856362735438 0
1 160.449616506055 0
1 148.176645889142 0
1 158.302295400837 0
1 165.315585428794 1
1 198.387683561548 0
1 183.139509936031 1
0 172.994468549534 1
0 141.142732472746 1
0 114.912425502575 0
0 163.315120337182 0
1 168.75733223557 1
0 138.308888034137 0
0 107.725112835178 0
0 156.913124916449 0
0 153.695177856275 0
0 159.294660853339 0
1 125.439947975265 0
0 143.893835421952 0
0 162.239172167845 0
1 182.453343595649 1
0 149.966795374112 0
0 124.657555032295 0
1 151.525275779409 0
0 130.421316773401 0
1 175.852251008618 1
1 190.095298597601 1
1 179.800509296727 1
0 176.340705261033 1
0 167.074483997153 1
1 173.673662421343 1
0 137.755725351612 0
0 132.895869172435 0
0 124.516277930841 0
0 177.585975412479 0
0 159.933432125012 0
0 140.257415254544 1
1 149.36628918677 0
1 196.882664577288 1
0 134.85689375848 0
0 152.296368234757 0
1 145.032812921031 0
1 141.8124734437 0
1 163.237156278245 1
1 174.225352736314 1
1 131.436176661924 0
0 163.694355779265 1
1 140.18309633476 0
1 180.898894347066 1
0 116.310195795245 0
1 139.868483032463 0
0 223.462877107765 1
0 148.976203946144 0
0 123.949576988393 0
0 132.227443913388 0
0 156.47275128491 0
0 141.687513669019 0
0 129.189711947719 0
0 152.339938781043 0
0 137.893470149735 0
1 178.771973683257 1
0 159.826222169578 0
0 146.262218508227 0
1 152.971897316345 0
0 163.390233006156 0
1 168.222390612101 1
0 134.083786973089 0
0 153.788491726942 0
0 166.449613739483 0
1 196.386960510996 1
0 150.192383687525 0
1 149.820533251965 0
1 179.585645483897 1
0 153.507492324245 0
1 151.899534949194 0
0 147.518768235529 0
1 153.687875792158 0
0 126.417450967539 0
1 149.802907149875 0
1 175.02791305353 0
1 213.73238769357 1
1 147.671275650676 1
1 166.1075615604 1
0 121.629660622188 0
0 130.811049655545 0
0 126.565610725145 0
0 144.764374772958 0
0 172.973499262637 1
0 172.315949852999 0
1 149.124191634517 0
0 144.55198711522 0
1 142.351781106268 1
0 136.913052586136 0
1 178.925646121102 0
0 176.564161367677 1
0 160.145209514508 0
0 149.088087088356 0
0 109.57956878148 0
0 158.176002954765 0
1 193.323783249608 1
0 174.792267671079 1
0 124.395684462967 0
1 152.259470618014 0
1 186.107146713759 1
0 160.258682977479 0
0 141.844898243389 0
1 176.053713153112 1
0 132.604810148179 1
1 178.581370779235 1
0 121.228057369736 0
1 167.697629719289 1
1 192.283252019053 1
1 134.342449181719 0
0 153.795787495295 0
0 126.737006544331 0
1 209.348039370394 1
0 144.566107632581 0
1 139.491678099271 0
0 154.43656865952 0
1 185.495104580005 1
1 151.156239819789 0
1 144.748079554569 0
1 155.482472744939 1
0 177.800979755445 1
1 188.25006059404 1
1 160.750300420674 0
0 158.806209992947 0
1 143.388837384495 0
1 175.481677462978 1
0 158.406933002796 0
0 135.054123495524 0
1 166.400768794537 0
1 186.304462531972 1
0 143.844501460439 1
0 126.121568152016 0
0 148.790556057095 0
1 159.369071146246 0
0 162.894657570686 0
0 139.770763349034 0
0 138.224068383785 0
0 131.724062315353 0
0 149.63356387035 0
1 199.257818294074 1
1 171.832489354664 1
1 191.474823687112 1
0 121.046702045432 0
1 154.475538721015 0
1 167.277212004537 0
1 182.869498505144 1
0 120.432532601793 0
0 124.725831587312 0
1 176.870054650205 0
0 151.131512335216 0
1 169.018450586656 0
1 182.253392045161 1
1 153.583133004935 0
1 181.7369453458 1
0 120.398308505459 0
0 140.052299211942 0
0 163.50122552079 0
0 158.60695682883 0
1 209.621124126439 1
0 171.154392713581 0
1 171.441987020006 1
1 158.444108135121 0
1 173.987917888948 1
1 198.071296167439 1
0 154.888196318145 0
0 154.09320093576 0
0 142.554501792357 0
0 144.768066449154 0
1 154.494630160959 1
1 200.766446272803 1
1 197.080649780764 1
1 207.177419679597 1
1 202.673953227939 1
1 175.554826258074 0
0 148.88838741937 0
0 126.971107548811 0
1 179.474250699011 1
0 129.006684493818 0
1 189.726820363079 1
0 150.892261358315 0
1 168.953833987332 1
0 133.401074481026 0
1 209.076180470319 1
1 194.337765739259 1
0 170.080313791506 1
0 146.771416708899 0
1 188.063237176024 1
0 131.248865206159 0
0 169.712459918098 0
0 137.010840435413 0
0 125.526745674378 0
1 209.423106137245 0
1 201.778787005591 1
1 154.561683121103 0
1 182.619538229641 1
0 143.427594102252 0
0 133.39249678601 0
1 161.015755547243 1
1 175.871694093775 0
0 145.182702215638 0
1 173.7432958161 1
0 137.488979805682 0
1 159.295974871702 1
0 158.535367513403 0
0 158.562986767165 0
0 155.566623210389 0
1 138.202172162796 0
1 187.797863510563 0
0 161.673474207797 0
1 200.264191693363 1
1 212.211062123293 1
0 165.618023295704 0
1 146.341889945623 0
1 171.840231508677 0
0 126.81576337297 0
0 127.059610605247 0
0 158.880706714911 0
1 196.430740773586 1
0 166.491786715628 1
0 138.404076462698 0
1 172.716906993288 1
0 125.602509338707 0
0 126.845969557866 0
0 152.287903762201 0
1 196.114639873024 1
0 154.225038055292 0
0 147.910232558035 0
0 141.491349000829 0
1 190.291208920273 1
0 181.051283821079 1
0 148.426628317688 0
1 187.048146121188 1
0 161.374273966267 0
0 131.619182879898 0
1 218.525663401551 1
1 197.169662707597 1
0 125.687576672413 0
0 151.913400629105 0
1 175.951050633287 1
1 202.652311612742 1
0 165.616240180822 1
0 149.009819706793 0
1 168.938494240496 0
1 196.765824750112 1
1 193.589237422201 1
1 195.236720277879 1
0 137.223672917586 0
0 134.858608900915 0
1 175.877097817499 1
1 171.362206672888 1
0 162.305885634083 0
1 190.914494584698 1
0 144.011533376864 0
1 184.472319922459 1
0 163.959990224491 1
1 200.758486555651 1
1 171.9000110392 0
0 153.692319759691 0
0 86.9005880541308 0
1 187.314916994545 1
1 166.458229849382 1
1 216.762073286452 1
0 188.802979741611 0
0 186.632127510976 1
1 182.073724825669 1
1 161.491161648941 0
0 149.962141100861 1
1 203.310375991677 1
0 140.159031540633 1
1 155.290748278546 0
1 206.886962783225 1
1 143.050611204676 0
1 167.900249447128 1
1 137.273859016204 1
0 148.417381276986 0
1 167.587053926297 1
0 157.791418415474 1
0 119.013625476974 0
1 168.799883918452 0
0 148.377545207538 0
1 196.715267237032 1
1 186.466759235214 0
1 167.405010108994 0
0 171.674239260105 0
1 178.312887028045 1
0 167.995322282603 0
0 175.778721723802 1
0 140.220590814563 0
0 146.385548580937 0
0 161.805695016896 0
1 163.03724059823 0
1 169.629469481721 1
0 121.593690245389 0
1 181.719884591893 1
0 136.907146721069 0
0 117.622609904415 0
1 191.010361946679 1
1 197.350528779842 1
0 168.851862319834 1
1 181.940797312262 0
0 164.200818187152 1
1 148.601558734815 0
1 190.346976338801 1
1 159.655266872053 1
1 189.966423460331 1
1 158.864835630433 0
0 152.390577810998 1
0 121.232250223231 0
1 178.170776757979 1
0 133.038933794528 0
0 151.304526971293 0
0 107.243187589144 0
1 153.857489000845 0
1 179.189522743632 1
0 185.084441408088 0
0 185.922204479691 1
0 178.625437070638 1
0 134.062258210807 0
0 160.070850241474 1
0 136.03484068798 0
0 126.082507065935 0
0 180.809109876694 0
0 135.456418304349 0
0 158.031144000003 0
0 137.07085180102 0
1 195.409664250216 1
0 162.956087772126 0
1 137.907902081578 0
1 172.682267470208 0
0 166.110303006692 0
0 128.714771974028 0
1 203.986145884049 1
0 140.480784452422 0
0 156.852913201882 1
0 156.000720094738 0
1 164.185126002963 0
1 166.478867683414 1
0 107.993377232651 0
1 179.885975747714 1
0 161.923438995428 1
0 130.181264713449 0
0 143.968066920928 0
0 184.820011779621 1
0 162.482662511224 0
1 161.494688663159 1
1 166.157482855928 0
0 178.620637840447 0
1 191.038940680939 1
0 158.759464855217 1
1 144.326853880555 0
0 160.882035801406 0
0 183.50066653656 1
1 166.547356170001 1
0 136.407307783798 0
1 206.4363941439 1
0 164.238102246753 0
0 130.084287671088 0
0 112.159591576677 0
1 169.670383815606 1
1 165.080173642215 0
0 127.950245805717 0
0 174.257804788728 1
1 160.46089509899 1
1 184.550992925273 0
1 168.717781990663 0
1 186.625045364614 0
1 173.74767539863 1
0 104.571217109849 0
0 126.99964955857 0
0 130.411263597349 0
0 162.113005640672 0
0 161.07873010555 0
0 131.00192461974 0
0 141.85811341185 1
1 177.72769191444 0
0 134.581628398048 0
1 200.187633133462 1
0 135.92915270416 0
1 149.394488023199 0
1 201.578552388122 1
1 163.41791792523 0
1 171.09120711517 0
0 101.895514365722 0
0 159.314646651923 1
0 164.584269280744 1
0 161.205867518712 1
1 177.098038143234 1
1 159.322142825842 0
0 151.769197389112 0
0 168.213561823262 1
1 145.307887580442 1
0 145.986904804217 0
1 177.174177064532 1
1 231.424380004745 1
1 170.465434992533 0
1 178.883277017297 0
0 138.82913414595 0
0 142.368008582067 0
0 144.196765637036 0
0 161.793209401253 0
1 178.080613798094 1
0 158.649538718453 1
0 190.81919154462 1
0 152.405202149465 0
0 132.153737687989 0
1 181.45892094295 1
1 180.778108077811 1
1 171.71483339444 1
0 132.692398800091 0
0 128.064614341046 0
1 174.694073601317 0
1 200.217469190799 1
1 150.857517970064 0
1 170.770591542256 1
1 221.322574938731 1
0 120.797215267414 0
0 157.159634158791 1
0 125.203972986893 0
0 123.192543594879 0
0 147.739182996345 0
1 184.760466000797 1
0 180.463290531677 1
0 173.51421712868 1
0 125.789621412413 0
1 173.735201938085 1
0 151.524510838219 1
0 189.770448311295 1
0 169.850902097522 0
1 184.720154408043 1
1 175.500411791621 1
0 164.806886983656 0
1 177.052560966912 1
1 185.020191653029 1
0 136.915747595594 0
1 184.593429170843 0
0 161.326392961872 0
0 155.025193145919 0
1 163.132104943166 1
0 128.605649787293 0
1 174.128660379075 0
1 165.289058317454 0
0 133.540657383627 0
0 120.55210654498 0
1 174.425681394675 0
1 177.00306095517 1
0 157.094007944357 1
0 152.438310324294 1
0 138.143267979916 0
1 153.109397916628 0
0 106.76500387714 0
0 151.68634840654 0
1 150.360294298266 0
0 145.599533960057 0
1 175.285347711231 1
1 175.457430907888 1
0 173.49169123704 1
1 178.092728797645 1
0 124.241490063708 0
1 199.403164650691 1
1 227.909151643584 1
0 157.566717978889 0
1 177.514991111661 1
1 171.352550120879 1
0 147.017192575973 0
0 162.556001723401 0
0 162.565814797534 0
1 161.251376930574 1
0 150.992782424624 0
1 178.950459879325 1
0 128.01659020355 0
1 175.827961004221 1
0 136.043140319437 0
1 156.341685798285 1
0 160.38788462224 0
0 172.960443684905 0
1 174.705048510877 0
1 148.770186458048 1
0 151.580704160847 1
1 182.347052268134 1
0 130.88487994076 0
0 108.656632884909 0
0 148.115836879083 0
1 182.428607181472 1
1 176.920552038322 0
1 199.170203091845 1
0 137.834557896274 1
1 172.783419338792 1
1 187.214766010194 1
0 145.832964251785 1
0 118.105684399766 0
1 203.445412940729 1
1 181.576565775993 1
0 135.64680636523 0
0 144.208245228825 0
1 144.160019786503 0
1 193.074514210399 0
0 121.762265820476 0
1 163.385920665267 1
1 198.403811172302 1
1 158.8069245372 0
0 120.595252024041 0
0 154.712151188694 0
1 155.06369373259 0
1 162.007554794159 0
0 155.607740294861 0
0 150.224471998099 0
1 162.009298675533 1
0 142.478148825418 0
1 163.619176519329 1
1 187.969715534109 1
1 145.986409810483 0
0 136.359103661664 0
1 173.007578852581 1
0 129.699431083835 0
1 191.551571147816 1
0 138.817122198521 1
0 158.771739208156 1
0 134.785142835168 0
1 204.787999278199 1
0 143.624210766032 0
0 158.507641107953 0
0 126.697541330079 0
0 129.167278330443 0
